# Time, Avrg_int, SD, SE, Sum_int, Max_int
0.000000000000000000e+00,2.294586181640625000e+02,2.257246255874633789e+00,1.324779949649010575e+02,1.832731840000000000e+08,1.269298950195312500e+03
1.500000000000000000e+01,2.297230987548828125e+02,1.956185102462768555e+00,1.326306929052065868e+02,3.669688960000000000e+08,1.272341918945312500e+03
3.000000000000000000e+01,2.297436828613281250e+02,1.829893231391906738e+00,1.326425771446038198e+02,5.505025920000000000e+08,1.272341918945312500e+03
4.500000000000000000e+01,2.296619262695312500e+02,1.701368927955627441e+00,1.325953749543218692e+02,7.337422720000000000e+08,1.326490966796875000e+03
6.000000000000000000e+01,2.296708679199218750e+02,1.552334904670715332e+00,1.326005374185818937e+02,9.172135040000000000e+08,1.469135131835937500e+03
7.500000000000000000e+01,2.301967773437500000e+02,1.959994196891784668e+00,1.329041713659984225e+02,1.103176704000000000e+09,1.469135131835937500e+03
9.000000000000000000e+01,2.308616943359375000e+02,2.634553194046020508e+00,1.332880613704266182e+02,1.290756992000000000e+09,1.469135131835937500e+03
1.050000000000000000e+02,2.316464843750000000e+02,3.332785129547119141e+00,1.337411601107367005e+02,1.480165376000000000e+09,1.469135131835937500e+03
1.200000000000000000e+02,2.325069274902343750e+02,4.067431926727294922e+00,1.342379371749396171e+02,1.671371264000000000e+09,1.547255126953125000e+03
1.350000000000000000e+02,2.336553497314453125e+02,5.233552455902099609e+00,1.349009790650461014e+02,1.866251904000000000e+09,1.547255126953125000e+03
1.500000000000000000e+02,2.349323883056640625e+02,6.502916336059570312e+00,1.356382776296368320e+02,2.064097280000000000e+09,1.547255126953125000e+03
1.650000000000000000e+02,2.363640747070312500e+02,7.944859504699707031e+00,1.364648621588613082e+02,2.265464320000000000e+09,1.679788940429687500e+03
1.800000000000000000e+02,2.378804626464843750e+02,9.335376739501953125e+00,1.373403491439004824e+02,2.469998080000000000e+09,1.928290161132812500e+03
1.950000000000000000e+02,2.410767974853515625e+02,1.468248653411865234e+01,1.391857539235406307e+02,2.695740160000000000e+09,1.956203369140625000e+03
2.100000000000000000e+02,2.442287139892578125e+02,1.848268699645996094e+01,1.410055137655341184e+02,2.926055680000000000e+09,2.072274169921875000e+03
2.250000000000000000e+02,2.474298706054687500e+02,2.181933975219726562e+01,1.428537023996216533e+02,3.162034688000000000e+09,2.072274169921875000e+03
2.400000000000000000e+02,2.509557800292968750e+02,2.548129272460937500e+01,1.448893871546070784e+02,3.407537664000000000e+09,2.090846435546875000e+03
2.550000000000000000e+02,2.545911254882812500e+02,2.897605514526367188e+01,1.469882548339489858e+02,3.660246272000000000e+09,2.252936767578125000e+03
2.700000000000000000e+02,2.582941894531250000e+02,3.233385086059570312e+01,1.491262198108779273e+02,3.919790080000000000e+09,2.502004394531250000e+03
2.850000000000000000e+02,2.622144165039062500e+02,3.588093185424804688e+01,1.513895639539309173e+02,4.188717568000000000e+09,2.701765136718750000e+03
3.000000000000000000e+02,2.664035339355468750e+02,3.976865005493164062e+01,1.538081520307555934e+02,4.468418048000000000e+09,2.764577636718750000e+03
