# Time, Avrg_int, SD, SE, Sum_int, Max_int
0.000000000000000000e+00,2.294586486816406250e+02,5.914390182495117188e+01,1.324780125842329994e+02,1.832732160000000000e+08,1.269298950195312500e+03
1.500000000000000000e+01,2.299876556396484375e+02,6.102869033813476562e+01,1.327834348938419851e+02,1.836957440000000000e+08,1.272341918945312500e+03
3.000000000000000000e+01,2.297848510742187500e+02,6.417897796630859375e+01,1.326663456233982572e+02,1.835337600000000000e+08,1.204728881835937500e+03
4.500000000000000000e+01,2.294167022705078125e+02,6.739062500000000000e+01,1.324537948124739160e+02,1.832397120000000000e+08,1.326490966796875000e+03
6.000000000000000000e+01,2.297066345214843750e+02,7.015708923339843750e+01,1.326211872756219918e+02,1.834712800000000000e+08,1.469135131835937500e+03
7.500000000000000000e+01,2.328263854980468750e+02,7.321657562255859375e+01,1.344223763417449504e+02,1.859630880000000000e+08,1.333582031250000000e+03
9.000000000000000000e+01,2.348511199951171875e+02,7.606715393066406250e+01,1.355913573486660084e+02,1.875802880000000000e+08,1.336546997070312500e+03
1.050000000000000000e+02,2.371399230957031250e+02,8.168730926513671875e+01,1.369127984349113660e+02,1.894084000000000000e+08,1.342411132812500000e+03
1.200000000000000000e+02,2.393904418945312500e+02,8.551055908203125000e+01,1.382121360692310930e+02,1.912059360000000000e+08,1.547255126953125000e+03
1.350000000000000000e+02,2.439911193847656250e+02,8.978772735595703125e+01,1.408683384566725465e+02,1.948805920000000000e+08,1.429492309570312500e+03
1.500000000000000000e+02,2.477031250000000000e+02,9.624314880371093750e+01,1.430114658978615410e+02,1.978454400000000000e+08,1.441632446289062500e+03
1.650000000000000000e+02,2.521123809814453125e+02,1.013036346435546875e+02,1.455571510256749548e+02,2.013672000000000000e+08,1.679788940429687500e+03
1.800000000000000000e+02,2.560770568847656250e+02,1.077974319458007812e+02,1.478461577257065471e+02,2.045338560000000000e+08,1.928290161132812500e+03
1.950000000000000000e+02,2.826292114257812500e+02,1.157370910644531250e+02,1.631760512975264703e+02,2.257416000000000000e+08,1.956203369140625000e+03
2.100000000000000000e+02,2.883558044433593750e+02,1.240061492919921875e+02,1.664823013177646374e+02,2.303155360000000000e+08,2.072274169921875000e+03
2.250000000000000000e+02,2.954467773437500000e+02,1.331666107177734375e+02,1.705762764306215047e+02,2.359792480000000000e+08,2.041543579101562500e+03
2.400000000000000000e+02,3.073703613281250000e+02,1.448561706542968750e+02,1.774603608537055095e+02,2.455028640000000000e+08,2.090846435546875000e+03
2.550000000000000000e+02,3.163918762207031250e+02,1.547111816406250000e+02,1.826689349054337015e+02,2.527085280000000000e+08,2.252936767578125000e+03
2.700000000000000000e+02,3.249497680664062500e+02,1.641192474365234375e+02,1.876098360662461175e+02,2.595438720000000000e+08,2.502004394531250000e+03
2.850000000000000000e+02,3.366983032226562500e+02,1.750093536376953125e+02,1.943928560012908235e+02,2.689276800000000000e+08,2.701765136718750000e+03
3.000000000000000000e+02,3.501856689453125000e+02,1.897639770507812500e+02,2.021797902319253524e+02,2.797002880000000000e+08,2.764577636718750000e+03
